"country","payment_type","number_of_occurrences"
"Camboya","DEBIT",3
"Nepal","TRANSFER",2
"Camboya","TRANSFER",2
"Colombia","TRANSFER",2
"Grecia","TRANSFER",2
"Suiza","CASH",2
"Hong Kong","TRANSFER",2
"Grecia","DEBIT",2
"Nepal","CASH",2
"Finlandia","CASH",2
"Jamaica","TRANSFER",2
"Argentina","PAYMENT",2
"Honduras","DEBIT",2
"Chipre","All payment_types",2
"Sri Lanka","TRANSFER",2
"Luxemburgo","All payment_types",2
"Chipre","DEBIT",1
"Bolivia","CASH",1
"Argentina","CASH",1
"Sri Lanka","DEBIT",1
"Ecuador","All payment_types",1
"Grecia","CASH",1
"Jamaica","PAYMENT",1
"Irlanda","CASH",1
"Luxemburgo","PAYMENT",1
"Trinidad y Tobago","PAYMENT",1
"Hong Kong","CASH",1
"Sri Lanka","CASH",1
"Grecia","PAYMENT",1
"Honduras","CASH",1
"Colombia","CASH",1
"Chile","CASH",1
"Bolivia","DEBIT",1
"Chipre","PAYMENT",1
"Ecuador","PAYMENT",1
"Luxemburgo","DEBIT",1
