"quarter","product_id","name","sales"
3,773,"Titleist Small Wheeled Travel Cover",6999.720280000005
3,671,"Cleveland Golf Collegiate My Custom Wedge 588",6929.670330000006
3,305,"Mio ALPHA Heart Rate Monitor/Sport Watch",6766
3,858,"GolfBuddy VT3 GPS Watch",6199.6903100000045
3,786,"TaylorMade 2014 Purelite Stand Bag",5579.690310000004
3,35,"adidas Brazuca 2014 Official Match Ball",5279.670330000004
3,625,"Nike Men's Kobe IX Elite Low Basketball Shoe",4999.750250000002
3,715,"TaylorMade Women's RBZ SL Rescue",4809.630370000003
3,743,"Ogio Race Golf Shoes",4759.720280000001
3,666,"Merrell Men's All Out Flash Trail Running Sho",4619.579999999995
3,982,"insta-bed Neverflat Air Mattress",4499.700290000001
3,19,"Nike Men's Fingertrap Max Training Shoe",4499.639999999997
3,647,"Merrell Women's Siren Mid Waterproof Hiking B",4454.670330000001
3,705,"Cleveland Golf Women's 588 RTX CB Satin Chrom",4439.629999999996
3,226,"Bowflex SelectTech 1090 Dumbbells",4199.92993
3,725,"LIJA Women's Button Golf Dress",3780
3,652,"Merrell Women's Grassbow Sport Waterproof Hik",3639.72028
3,311,"Polar Loop Activity Tracker",3188.549999999999
3,860,"Bushnell Pro X7 Jolt Slope Rangefinder",2399.95996
3,60,"SOLE E25 Elliptical",1999.97998
4,1351,"Dell Laptop",663000
4,1349,"Web Camera",267607.6859199985
4,1350,"Children's heaters",232829.2065199976
4,1353,"Porcelain crafts",223356.3248399997
4,1355,"Lawn mower",206641.04775999853
4,1352,"Industrial consumer electronics",108991.28000000051
4,1358,"Rock music",75588.49710000007
4,1356,"First aid kit",70036.56238999967
4,1354,"DVDs ",66902.65999999958
4,1363,"Summer dresses",58703.04272000032
4,1360,"Smart watch ",47523.75
4,1357,"Men's gala suit",37320.45176999991
4,1359,"Adult dog supplies",20762.400000000027
4,208,"SOLE E35 Elliptical",17999.909910000002
4,1346,"Sports Books ",12587.399999999974
4,1347,"Baby sweater",12229.559999999987
4,1362,"Fighting video games",9063
4,60,"SOLE E25 Elliptical",7999.91992
4,365,"Perfect Fitness Perfect Rip Deck",7198.800199999998
4,1004,"Field & Stream Sportsman 16 Gun Fire Safe",6799.660170000001
4,191,"Nike Men's Free 5.0+ Running Shoe",6399.35999
4,1073,"Pelican Sunstream 100 Kayak",4999.750220000002
4,957,"Diamondback Women's Serene Classic Comfort Bi",4499.700150000001
4,860,"Bushnell Pro X7 Jolt Slope Rangefinder",4199.92993
4,403,"Nike Men's CJ Elite 2 TD Football Cleat",4159.68029
4,502,"Nike Men's Dri-FIT Victory Golf Polo",3900
4,1014,"O'Brien Men's Neoprene Life Vest",3398.63997
4,1348,"CDs of rock",3059.5899999999924
4,1361,"Toys ",2919.619999999993
4,226,"Bowflex SelectTech 1090 Dumbbells",1799.96997
4,627,"Under Armour Girls' Toddler Spine Surge Runni",999.7500100000002
